version,version_season,season,full_name,castaway_id,castaway,age,city,state,episode,day,order,result,jury_status,place,origil_tribe,jury,finalist,winner,acknowledge,ack_look,ack_speak,ack_gesture,ack_smile
US,US17,17,Danny Brown,US0252,GC,25,Portland,Oregon,4,15,5,5th voted out,,14,Fang,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
US,US17,17,Kelly Czarnecki,US0253,Kelly,22,Buffalo Grove,Illinois,5,18,6,6th voted out,,13,Kota,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US17,17,Ace Gordon,US0254,Ace,27,Naples,Florida,6,21,7,7th voted out,,12,Kota,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
US,US17,17,Dan Kay,US0255,Dan,32,Boston,Massachusetts,6,21,8,8th voted out,,11,Fang,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US17,17,Marcus Lehman,US0256,Marcus,28,Atlanta,Georgia,7,24,9,9th voted out,1st jury member,10,Kota,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US17,17,Charlie Herschel,US0257,Charlie,29,New York City,New York,8,27,10,10th voted out,2nd jury member,9,Kota,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
US,US17,17,Randy Bailey,US0258,Randy,49,Eagle Rock,Missouri,9,30,11,11th voted out,3rd jury member,8,Fang,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US17,17,Corinne Kaplan,US0259,Corinne,29,Los Angeles,California,11,33,12,12th voted out,4th jury member,7,Kota,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US17,17,Crystal Cox,US0260,Crystal,29,Durham,North Carolina,12,36,13,13th voted out,5th jury member,6,Fang,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
US,US17,17,Ken Hoang,US0261,Ken,22,Westminster,California,13,37,14,14th voted out,6th jury member,5,Fang,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
US,US17,17,Matty Whitmore,US0262,Matty,29,Pacific Palisades,California,13,38,15,Lost fire challenge,7th jury member,4,Fang,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US17,17,Jessica Kiper,US0263,Sugar,29,Brooklyn,New York,13,39,16,2nd runner-up,,3,Kota,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
US,US17,17,Susie Smith,US0264,Susie,47,Charles City,Iowa,13,39,17,Runner-up,,2,Fang,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
US,US17,17,Robert Crowley,US0265,Bob,57,South Portland,Maine,13,39,18,Sole Survivor,,1,Kota,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA
US,US16,16,Jon Dalton,US0111,Jonny Fairplay,33,Los Angeles,California,1,3,1,1st voted out (Quit),,20,Malakal,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US16,16,Mary Sartain,US0238,Mary,29,Emeryville,California,2,6,2,2nd voted out,,19,Airai,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
US,US16,16,Yau-Man Chan,US0218,Yau-Man,55,Martinez,California,3,8,3,3rd voted out,,18,Malakal,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US16,16,Michael Bortone,US0239,Mikey B,34,Los Angeles,California,4,11,4,4th voted out,,17,Airai,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US16,16,Joel Anderson,US0240,Joel,32,Avondale,Arizona,5,14,5,5th voted out,,16,Airai,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US16,16,Jonathan Penner,US0196,Jonathan,45,Los Angeles,California,6,15,6,Medically evacuated,,15,Malakal,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
US,US16,16,Chet Welch,US0241,Chet,48,Ford City,Pennsylvania,6,17,7,6th voted out,,14,Airai,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US16,16,Kathleen Sleckman,US0242,Kathy,45,Glen Ellyn,Illinois,7,19,8,Quit,,13,Airai,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
US,US16,16,Tracy Hughes-Wolf,US0243,Tracy,43,Fredericksburg,Virginia,7,20,9,7th voted out,,12,Airai,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US16,16,Ami Cusack,US0125,Ami,34,Golden,Colorado,8,21,10,8th voted out,,11,Malakal,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US16,16,Eliza Orlins,US0127,Eliza,25,Manhattan,New York,9,24,11,9th voted out,1st jury member,10,Malakal,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US16,16,Oscar Lusth,US0201,Ozzy,26,Venice,California,10,27,12,10th voted out,2nd jury member,9,Malakal,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
US,US16,16,Jason Siska,US0244,Jason,22,Fox River Grove,Illinois,11,30,13,11th voted out,3rd jury member,8,Airai,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US16,16,James Clement,US0231,James,30,Lafayette,Louisiana,12,31,14,Medically evacuated,4th jury member,7,Malakal,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
US,US16,16,Alexis Jones,US0245,Alexis,24,Beverly Hills,California,12,33,15,12th voted out,5th jury member,6,Airai,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
US,US16,16,Erik Reichenbach,US0246,Erik,22,Ypsilanti,Michigan,13,36,16,13th voted out,6th jury member,5,Airai,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
US,US16,16,Natalie Bolton,US0247,Natalie,32,West Hollywood,California,14,37,17,14th voted out,7th jury member,4,Airai,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
US,US16,16,Cirie Fields,US0179,Cirie,37,Norwalk,Connecticut,14,38,18,15th voted out,8th jury member,3,Malakal,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
US,US16,16,Amanda Kimmel,US0235,Amanda,23,Los Angeles,California,14,39,19,Runner-up,,2,Malakal,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
US,US16,16,Parvati Shallow,US0197,Parvati,25,Los Angeles,California,14,39,20,Sole Survivor,,1,Malakal,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA
US,US15,15,Steve Morris,US0222,Chicken,47,Marion,Virginia,1,3,1,1st voted out,,16,Zhan Hu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
